"fruit_major_producers_2","fruit_major_producers_0","fruit_major_producers_1","fruit_nutrition_protein","fruit_nutrition_fat","fruit_name","fruit_nutrition_carbohydrates","fruit_binomial name"
"Turkey","China","United States","0.26g","0.17g","Apple","13.81g","Malus domestica"
"India","Brazil","United States","0.94g","0.12g","Orange","11.75g","Citrus x sinensis"
"Thailand","India","China","0.82g","0.38g","Mango","15g","Mangifera indica"
